postal_code,street_name,lat,lon,geometry,nearest_waterbody_index,distance_to_nearest_waterbody_degrees,distance_to_nearest_waterbody_km,nearest_waterbody
559280,Brighton Avenue,1.3595,103.8733,POINT (103.8733 1.3595),713,0.004471305537848391,0.4963149147011714,"POLYGON Z ((103.871964385532 1.35552055430193 0, 103.871966915889 1.35552045387689 0, 103.87202105259 1.35551829971605 0, 103.872020965427 1.35551818667191 0, 103.871872493571 1.35539263255629 0, 103.871855450478 1.35539170223839 0, 103.871149016208 1.35535389293114 0, 103.871046615554 1.35534036615382 0, 103.870531836332 1.35531196627663 0, 103.870552333444 1.35536758435834 0, 103.870559602969 1.35537648409404 0, 103.871040757887 1.3554034809187 0, 103.871143140573 1.35541702668811 0, 103.871884096856 1.35545684674975 0, 103.871964385532 1.35552055430193 0))"
389562,Geylang Road,1.3144,103.8875,POINT (103.8875 1.3144),811,0.0020596375374059314,0.22861976665205838,"POLYGON Z ((103.889811191569 1.31329124509384 0, 103.88979704834 1.31328843284252 0, 103.889797051035 1.31328841837264 0, 103.889316787784 1.31319276378228 0, 103.889236421033 1.31317003258749 0, 103.889160588986 1.31313493501099 0, 103.889091115719 1.31308831840157 0, 103.889029758821 1.31303135115895 0, 103.888978025189 1.31296544224951 0, 103.888937181814 1.31289218513538 0, 103.888908241401 1.31281341746264 0, 103.888891910248 1.31273101125004 0, 103.888888571185 1.31264708722354 0, 103.888898330282 1.31256366030452 0, 103.888920739379 1.31244980938363 0, 103.889007174585 1.31201103431568 0, 103.889007251851 1.3120106427242 0, 103.889007034402 1.31201059931959 0, 103.889007042488 1.31201056133611 0, 103.888856479172 1.31198004240831 0, 103.888856476477 1.31198005868693 0, 103.888812126603 1.31197106215662 0, 103.888736007496 1.31195562183367 0, 103.888728344038 1.3120085616813 0, 103.888683521338 1.31223620925886 0, 103.888617871716 1.31257088881249 0, 103.888602392344 1.3126497054089 0, 103.888576841334 1.31277853538299 0, 103.888606901193 1.31289199264047 0, 103.88860976521 1.31290751508536 0, 103.88861680234 1.31293443242741 0, 103.888628816054 1.3129803928574 0, 103.888649655576 1.31303803928611 0, 103.888667774021 1.31308338822965 0, 103.888692640471 1.3131241826441 0, 103.888726523074 1.31316986042435 0, 103.888777095626 1.31322892332733 0, 103.888821339442 1.31327632368877 0, 103.88887594358 1.31332589700503 0, 103.888934686374 1.31337250210378 0, 103.888999505001 1.31341190199466 0, 103.88903442041 1.31343346668237 0, 103.889081317838 1.31344879731766 0, 103.889140336779 1.31346778945065 0, 103.889216469539 1.3134889236361 0, 103.889342587808 1.31351468884613 0, 103.889706519821 1.31358351720189 0, 103.88975171437 1.31359289081548 0, 103.889751873396 1.31359209497132 0, 103.889757938823 1.31356178868266 0, 103.889757953199 1.3135617488903 0, 103.889762001609 1.31354154530067 0, 103.889803213361 1.31333176983794 0, 103.889811191569 1.31329124509384 0))"
554421,Serangoon Garden Drive,1.3647,103.8606,POINT (103.8606 1.3647),66,0.006500628359685917,0.7215697479251367,"POLYGON Z ((103.858594653324 1.35611991835454 0, 103.858619533796 1.35621616235084 0, 103.858998371365 1.3578145326935 0, 103.858998260997 1.35885128143858 0, 103.859006017159 1.35916692709764 0, 103.859004285127 1.35946039513224 0, 103.85901347874 1.36009157799007 0, 103.859017866752 1.36012100686077 0, 103.859022017532 1.36014942555911 0, 103.859036216254 1.36019378899618 0, 103.85904737674 1.36022104279813 0, 103.85906023646 1.36025233547262 0, 103.859078146976 1.36027917500313 0, 103.859317852505 1.36055687012639 0, 103.859349154813 1.36096068109101 0, 103.859368507242 1.36095993749346 0, 103.859415854513 1.36095811920653 0, 103.8594158626 1.36095811830208 0, 103.859437387763 1.36095729147882 0, 103.859437350902 1.36095548003761 0, 103.85943144331 1.36066626712437 0, 103.859416202986 1.36052391312035 0, 103.859414268231 1.36051085864327 0, 103.859196722603 1.36026635436376 0, 103.859162527274 1.36023133322605 0, 103.859132002398 1.36017810176946 0, 103.859112933966 1.36009826560127 0, 103.859125169976 1.35791734579808 0, 103.85911220099 1.3577491206147 0, 103.859111854995 1.35774463678028 0, 103.858935987094 1.35708918255433 0, 103.858861773825 1.35676136394807 0, 103.858838490019 1.35665851265252 0, 103.858826939325 1.35660748854138 0, 103.858826251891 1.35660445350209 0, 103.85872078781 1.35613862289782 0, 103.858706919714 1.35608679030857 0, 103.858695947729 1.35603836171591 0, 103.85853324609 1.35531961989367 0, 103.85852554324 1.35528559417156 0, 103.858453985349 1.35530720922645 0, 103.85841355186 1.35532020626761 0, 103.858420800014 1.35535221435807 0, 103.858474128675 1.3555877021281 0, 103.858594653324 1.35611991835454 0))"
269874,Belmont Road,1.3174,103.7992,POINT (103.7992 1.3174),577,0.005638635958341332,0.6258885913758878,"POLYGON Z ((103.799314712611 1.32299988065319 0, 103.799282397966 1.32299847120727 0, 103.799066028331 1.32298803907853 0, 103.798994744367 1.32298460150181 0, 103.798933404684 1.3229816442793 0, 103.798847893042 1.32297752099154 0, 103.798838421401 1.32297706415499 0, 103.798837982009 1.32297703973099 0, 103.798777405247 1.32297054464149 0, 103.798564098956 1.32294776160621 0, 103.798549004186 1.32294614891147 0, 103.798470436623 1.3229377571083 0, 103.798350510525 1.32292494780018 0, 103.798278798014 1.32291728771904 0, 103.798269085569 1.32291625027491 0, 103.79813247876 1.32290165912097 0, 103.797972548247 1.3228845770054 0, 103.797935922384 1.3228806651036 0, 103.797822293341 1.3228685278031 0, 103.797770242042 1.3228629679246 0, 103.797647185398 1.32284982392245 0, 103.797608861273 1.32284573021398 0, 103.79759789445 1.3228445589031 0, 103.797533995102 1.32282020253699 0, 103.797515033043 1.32281297548523 0, 103.797505789679 1.32280945194703 0, 103.79750288018 1.32280834315392 0, 103.797482438218 1.32286271957866 0, 103.797476874166 1.32287749229118 0, 103.797492456785 1.32288356261198 0, 103.797574819491 1.32291563257149 0, 103.797748993906 1.32292978839503 0, 103.797830348674 1.32294541698566 0, 103.797913006342 1.32296128977074 0, 103.79799636503 1.32296669002266 0, 103.798080973604 1.32297218072607 0, 103.798164888497 1.32297761715483 0, 103.798254105747 1.3229833973147 0, 103.798529682248 1.32303588149008 0, 103.798529320119 1.32303680755418 0, 103.798529913157 1.32303725341423 0, 103.798564937803 1.32304116618907 0, 103.798738838011 1.32306722970618 0, 103.799207040628 1.32307788874046 0, 103.799229075838 1.32307839006327 0, 103.7992520105 1.32307891219873 0, 103.799282196483 1.32307959993281 0, 103.799314712611 1.32299988065319 0))"
486780,Changi South Street 1,1.3336,103.9688,POINT (103.9688 1.3336),86,0.004488523319043602,0.4982260884138398,"POLYGON Z ((103.971033633599 1.337600387245 0, 103.971036777529 1.33759828894785 0, 103.970888891462 1.3373734096181 0, 103.9708800651 1.33735998848074 0, 103.970876920272 1.33736208587336 0, 103.970756994471 1.33744196587727 0, 103.970220649207 1.33779921990611 0, 103.970347802006 1.337992472195 0, 103.970350378384 1.33799638884171 0, 103.970377423608 1.33803749237975 0, 103.971033633599 1.337600387245 0))"
389539,Geylang Road,1.314,103.888,POINT (103.888 1.314),811,0.001448046511765029,0.1607331628059182,"POLYGON Z ((103.889811191569 1.31329124509384 0, 103.88979704834 1.31328843284252 0, 103.889797051035 1.31328841837264 0, 103.889316787784 1.31319276378228 0, 103.889236421033 1.31317003258749 0, 103.889160588986 1.31313493501099 0, 103.889091115719 1.31308831840157 0, 103.889029758821 1.31303135115895 0, 103.888978025189 1.31296544224951 0, 103.888937181814 1.31289218513538 0, 103.888908241401 1.31281341746264 0, 103.888891910248 1.31273101125004 0, 103.888888571185 1.31264708722354 0, 103.888898330282 1.31256366030452 0, 103.888920739379 1.31244980938363 0, 103.889007174585 1.31201103431568 0, 103.889007251851 1.3120106427242 0, 103.889007034402 1.31201059931959 0, 103.889007042488 1.31201056133611 0, 103.888856479172 1.31198004240831 0, 103.888856476477 1.31198005868693 0, 103.888812126603 1.31197106215662 0, 103.888736007496 1.31195562183367 0, 103.888728344038 1.3120085616813 0, 103.888683521338 1.31223620925886 0, 103.888617871716 1.31257088881249 0, 103.888602392344 1.3126497054089 0, 103.888576841334 1.31277853538299 0, 103.888606901193 1.31289199264047 0, 103.88860976521 1.31290751508536 0, 103.88861680234 1.31293443242741 0, 103.888628816054 1.3129803928574 0, 103.888649655576 1.31303803928611 0, 103.888667774021 1.31308338822965 0, 103.888692640471 1.3131241826441 0, 103.888726523074 1.31316986042435 0, 103.888777095626 1.31322892332733 0, 103.888821339442 1.31327632368877 0, 103.88887594358 1.31332589700503 0, 103.888934686374 1.31337250210378 0, 103.888999505001 1.31341190199466 0, 103.88903442041 1.31343346668237 0, 103.889081317838 1.31344879731766 0, 103.889140336779 1.31346778945065 0, 103.889216469539 1.3134889236361 0, 103.889342587808 1.31351468884613 0, 103.889706519821 1.31358351720189 0, 103.88975171437 1.31359289081548 0, 103.889751873396 1.31359209497132 0, 103.889757938823 1.31356178868266 0, 103.889757953199 1.3135617488903 0, 103.889762001609 1.31354154530067 0, 103.889803213361 1.31333176983794 0, 103.889811191569 1.31329124509384 0))"
229423,Emerald Hill Road,1.3058,103.8396,POINT (103.8396 1.3058),859,0.00736169330523868,0.8171479568814934,"POLYGON Z ((103.83943901343 1.31312965565821 0, 103.839464955455 1.31312860562689 0, 103.83951049036 1.31312937603281 0, 103.839523058993 1.31301550834613 0, 103.839483962198 1.31301467281025 0, 103.83942853697 1.31301845409567 0, 103.839391588621 1.31302350958474 0, 103.839354637583 1.31303110091191 0, 103.839310966301 1.31304270039905 0, 103.839285495137 1.31305214654954 0, 103.839283675575 1.31305282120997 0, 103.839274851825 1.31305608870077 0, 103.839251601876 1.31306594542717 0, 103.839230592909 1.31307552269933 0, 103.839209024152 1.31308791616434 0, 103.839188293746 1.31310200259791 0, 103.839170535739 1.31311511502353 0, 103.839131436325 1.31314806383434 0, 103.839059792417 1.31321542108359 0, 103.83907349712 1.31322573623576 0, 103.839149156036 1.31328268300071 0, 103.839182581115 1.31325166863913 0, 103.83920512209 1.31323306309092 0, 103.83922298163 1.31321873429429 0, 103.839257488577 1.31319408123044 0, 103.839293815985 1.31316979533382 0, 103.839321531719 1.31315670639682 0, 103.839345047641 1.31314784085284 0, 103.839368584236 1.31314146321588 0, 103.839382419197 1.31313771459054 0, 103.839402154033 1.31313349568107 0, 103.839417442851 1.3131315756774 0, 103.83943901343 1.31312965565821 0))"
209005,Jalan Besar,1.3134,103.8597,POINT (103.8597 1.3134),243,0.0071589627551378225,0.7946448658202983,"POLYGON Z ((103.861454876278 1.30640353085756 0, 103.861408384953 1.3063589850913 0, 103.861406073893 1.30635933420203 0, 103.861405996618 1.30635934595965 0, 103.861392391739 1.30636139992469 0, 103.861390405953 1.30636169929169 0, 103.861390153461 1.30636173727785 0, 103.861389575696 1.30636182500771 0, 103.861383610252 1.30636272582191 0, 103.861325447391 1.30637150695099 0, 103.861195594857 1.30638156222513 0, 103.861000152614 1.30636815990547 0, 103.860873630574 1.30633967743507 0, 103.860260994827 1.30617045397595 0, 103.85973588646 1.3059851597852 0, 103.859725944 1.30598165095538 0, 103.859711093015 1.30600089418357 0, 103.859655719806 1.30606345690643 0, 103.859619733421 1.30610432823767 0, 103.859604912057 1.30612074713407 0, 103.859617738846 1.30612356047758 0, 103.859642696947 1.30612903614281 0, 103.859665030399 1.30613517835224 0, 103.859709576006 1.30614813109722 0, 103.859733211474 1.30615628188618 0, 103.859773419815 1.3061711736337 0, 103.859804052303 1.30618255473845 0, 103.859824902271 1.30619024523444 0, 103.859872758176 1.30620779120947 0, 103.859915900278 1.30622301844276 0, 103.859953266498 1.30623609967953 0, 103.860150859512 1.30630248968806 0, 103.860175282107 1.30631041708624 0, 103.860229262513 1.30632789877859 0, 103.860336805462 1.30635907739816 0, 103.860359367152 1.30636551442168 0, 103.860383729535 1.30637238009436 0, 103.860414921794 1.30638107974422 0, 103.860556888179 1.30642043705454 0, 103.860593858111 1.30643031140884 0, 103.860631230592 1.30644016676652 0, 103.860655578594 1.30644654046229 0, 103.86077468226 1.30647757062041 0, 103.860838280713 1.30649416591633 0, 103.860914184765 1.30651026005668 0, 103.860932091053 1.30651380949006 0, 103.861003994753 1.30652790773908 0, 103.861059738928 1.30653732155664 0, 103.861090121532 1.30653967889769 0, 103.861139787861 1.30654237606477 0, 103.861191292603 1.30654374288995 0, 103.861216767314 1.30654365940401 0, 103.861256798486 1.30654318778263 0, 103.861282718854 1.30654097993848 0, 103.861301653019 1.30653898921985 0, 103.861348168952 1.30653359145013 0, 103.861370602048 1.30653053625453 0, 103.861413853551 1.30652453350029 0, 103.861449825009 1.30651705942601 0, 103.861485527817 1.30651107122537 0, 103.861507667987 1.30650804406716 0, 103.861513455521 1.30650725268277 0, 103.861522560494 1.30650673618778 0, 103.861533173228 1.30650613376107 0, 103.861534777135 1.30650612379495 0, 103.861546429494 1.30650604860104 0, 103.861555868732 1.3065059888063 0, 103.861556817598 1.30650598246501 0, 103.861561494533 1.30650568668489 0, 103.861511283179 1.30645757686165 0, 103.861466384094 1.30641455674171 0, 103.861457179279 1.30640573748137 0, 103.861454876278 1.30640353085756 0))"
389356,Geylang Road,1.3128,103.8791,POINT (103.8791 1.3128),825,0.0076387970994507256,0.8479064780390305,"MULTIPOLYGON Z (((103.875097854987 1.31929405791218 0, 103.874948079546 1.31921830996909 0, 103.875018683054 1.31926116932292 0, 103.875020059655 1.31926238838295 0, 103.875052848288 1.31929142697152 0, 103.875080626524 1.31931602792802 0, 103.875095673892 1.31932935438801 0, 103.875102069877 1.31933501921872 0, 103.87513137837 1.31936097488664 0, 103.875134444014 1.3193481364775 0, 103.875136903178 1.31933784024699 0, 103.875097854987 1.31929405791218 0)), ((103.87521086615 1.31942081895265 0, 103.875195482656 1.31940354766149 0, 103.875192643428 1.3194152339066 0, 103.875218797959 1.3194383969495 0, 103.875258934163 1.31947394231263 0, 103.87526859823 1.31948250105359 0, 103.875302624374 1.31952347632356 0, 103.875567148998 1.31984201880884 0, 103.875590015851 1.31987202070734 0, 103.875591139029 1.31987133065808 0, 103.875583596425 1.31986182591708 0, 103.875578081895 1.31985487597084 0, 103.875566105741 1.31983978414221 0, 103.87554779646 1.31981671050139 0, 103.875379335993 1.3196044201571 0, 103.875315089984 1.31952357468762 0, 103.875307294919 1.31951586963515 0, 103.875251586384 1.31945472650208 0, 103.875251391395 1.3194545076492 0, 103.87521086615 1.31942081895265 0)))"
588238,Stone Avenue,1.336,103.7861,POINT (103.7861 1.336),39,0.0030411231157160294,0.33756466584447925,"POLYGON Z ((103.795550022319 1.33171328735896 0, 103.795514962328 1.33160370589104 0, 103.79217385149 1.3327818578865 0, 103.791534240604 1.33301815292205 0, 103.791184294642 1.33314743574651 0, 103.79105785255 1.33319414759944 0, 103.789787949532 1.33364689169611 0, 103.789464598307 1.33375798978428 0, 103.789244137836 1.33383373718143 0, 103.788163444822 1.33420504762142 0, 103.786598554944 1.33477064559387 0, 103.786365555683 1.33485447388372 0, 103.786295012188 1.33487896632801 0, 103.786020025801 1.33497443746506 0, 103.785892923136 1.33501856526231 0, 103.785405238694 1.33518788166829 0, 103.784261261968 1.33559907788708 0, 103.783128623597 1.33601917544443 0, 103.782353722265 1.33630777455444 0, 103.781530930929 1.33661053383322 0, 103.781379952011 1.3366793247013 0, 103.781362657983 1.33669762504623 0, 103.781351298769 1.33672353302877 0, 103.781345342565 1.33675028489813 0, 103.781346015192 1.3367689717891 0, 103.781395473107 1.33675022175574 0, 103.781759669559 1.33661214482846 0, 103.781951175295 1.33653954018175 0, 103.782159575835 1.33646052845364 0, 103.782390167317 1.33637310658353 0, 103.782540959052 1.33631593763118 0, 103.782753421069 1.33623538670741 0, 103.782939290952 1.33616491887651 0, 103.783191213315 1.33607377952741 0, 103.783890059862 1.3358209561581 0, 103.784676308678 1.3355365123265 0, 103.785394790103 1.33528926702376 0, 103.786128506607 1.33503264625431 0, 103.786603091678 1.33487015378304 0, 103.786735655815 1.33482280018494 0, 103.786905399797 1.33476216307959 0, 103.78768989298 1.33448309014148 0, 103.788078444106 1.33434824037489 0, 103.788262945089 1.33428420665367 0, 103.788850778464 1.33408019193409 0, 103.789218380384 1.33395261088056 0, 103.789599237893 1.33381856289839 0, 103.789904519079 1.33371111448604 0, 103.79026975591 1.33358256374994 0, 103.790499940602 1.33350154669791 0, 103.790794901727 1.33339772991795 0, 103.791302056493 1.33321729539385 0, 103.791698191175 1.33307553039834 0, 103.792155057815 1.33291203086749 0, 103.792754142465 1.3326976359864 0, 103.794250163845 1.33216623955759 0, 103.79496159066 1.33191833469274 0, 103.795178897766 1.33184261023297 0, 103.795372825201 1.33177503371425 0, 103.795550022319 1.33171328735896 0))"
