DataSeries,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
Tanglin Police Division - Kampong Java NPC,36,31,45,39,35,33,38,32,43,51,63,65,52
    Robbery,0,0,1,4,2,1,2,2,6,6,15,6,6
    Housebreaking,3,2,1,8,4,1,3,3,6,10,13,9,8
    Snatch Theft,0,0,0,0,0,1,0,1,2,6,2,3,7
    Theft Of Motor Vehicle,0,1,0,1,1,0,1,1,1,5,4,17,5
    Outrage Of Modesty,33,28,43,26,28,30,32,25,28,24,29,30,26
Tanglin Police Division - Orchard NPC,129,137,66,62,156,185,158,124,108,138,135,162,156
    Robbery,0,1,0,0,3,2,5,5,6,8,7,15,10
    Housebreaking,5,2,2,5,5,9,3,8,5,11,13,10,17
    Snatch Theft,0,1,0,0,1,0,1,0,3,4,7,10,14
    Theft Of Motor Vehicle,0,0,0,0,2,1,3,3,1,7,6,2,7
    Outrage Of Modesty,124,133,64,57,145,173,146,108,93,108,102,125,108
Tanglin Police Division - Toa Payoh NPC,53,50,49,53,69,50,51,49,51,60,77,88,116
    Robbery,1,2,1,1,6,3,3,3,1,9,2,12,12
    Housebreaking,7,3,2,6,11,4,7,8,9,9,30,10,26
    Snatch Theft,0,2,1,0,1,1,0,3,0,0,2,15,13
    Theft Of Motor Vehicle,1,1,1,1,2,3,4,1,7,8,16,14,16
    Outrage Of Modesty,44,42,44,45,49,39,37,34,34,34,27,37,49
Tanglin Police Division - Unknown NPC,2,3,1,0,0,0,0,0,0,0,0,0,0
    Robbery,0,0,0,0,0,0,0,0,0,0,0,0,0
    Housebreaking,0,0,0,0,0,0,0,0,0,0,0,0,0
    Snatch Theft,0,0,0,0,0,0,0,0,0,0,0,0,0
    Theft Of Motor Vehicle,0,0,0,0,0,0,0,0,0,0,0,0,0
    Outrage Of Modesty,2,3,1,0,0,0,0,0,0,0,0,0,0
Ang Mo Kio Police Division - Total,261,304,288,225,285,424,385,355,380,366,403,580,625
    Robbery,4,1,5,6,11,10,9,17,12,31,40,46,66
    Housebreaking,16,12,18,23,25,57,25,39,35,39,47,121,120
    Snatch Theft,9,1,4,2,8,12,15,9,16,20,26,39,70
    Theft Of Motor Vehicle,11,20,16,7,8,18,35,32,65,43,77,140,118
    Outrage Of Modesty,221,270,245,187,233,327,301,258,252,233,213,234,251
Ang Mo Kio Police Division - Ang Mo Kio North NPC,28,34,35,35,26,34,34,37,31,45,42,61,74
    Robbery,0,0,1,1,0,0,1,3,0,1,4,5,10
    Housebreaking,3,1,2,4,1,3,1,4,3,3,8,12,18
    Snatch Theft,2,0,0,0,2,1,3,1,2,4,5,3,8
    Theft Of Motor Vehicle,0,1,0,1,0,2,2,5,4,4,5,13,13
    Outrage Of Modesty,23,32,32,29,23,28,27,24,22,33,20,28,25
Ang Mo Kio Police Division - Ang Mo Kio South NPC,34,26,30,13,40,44,35,38,39,41,35,71,59
    Robbery,0,0,1,0,4,1,0,2,3,4,5,9,12
    Housebreaking,0,1,5,2,2,4,4,3,3,7,0,7,10
    Snatch Theft,2,1,3,0,4,3,2,3,1,3,5,10,10
    Theft Of Motor Vehicle,1,0,2,1,0,2,3,1,8,5,5,21,8
    Outrage Of Modesty,31,24,19,10,30,34,26,29,24,22,20,24,19
Ang Mo Kio Police Division - Hougang NPC,48,68,57,51,71,67,55,61,95,55,84,119,128
    Robbery,1,1,0,2,2,4,1,2,4,3,10,11,9
    Housebreaking,5,3,4,8,8,9,4,7,10,9,15,23,23
    Snatch Theft,2,0,0,1,0,1,3,3,7,2,5,7,13
    Theft Of Motor Vehicle,2,5,5,2,2,1,4,10,21,9,17,30,28
    Outrage Of Modesty,38,59,48,38,59,52,43,39,53,32,37,48,55
Ang Mo Kio Police Division - Punggol NPC,39,51,44,43,53,33,30,33,25,14,20,na,na
    Robbery,2,0,1,2,2,3,2,2,1,0,2,na,na
    Housebreaking,1,1,2,5,9,5,3,6,1,1,1,na,na
    Snatch Theft,0,0,0,1,1,1,1,0,1,1,0,na,na
    Theft Of Motor Vehicle,1,8,2,2,2,1,3,0,3,5,5,na,na
    Outrage Of Modesty,35,42,39,33,39,23,21,25,19,7,12,na,na
Ang Mo Kio Police Division - Sembawang NPC,na,na,na,na,na,32,36,22,17,34,31,57,39
    Robbery,na,na,na,na,na,0,1,0,1,8,3,5,6
    Housebreaking,na,na,na,na,na,4,0,5,0,2,2,12,4
    Snatch Theft,na,na,na,na,na,0,1,0,1,2,1,3,5
    Theft Of Motor Vehicle,na,na,na,na,na,1,2,1,1,4,12,6,3
    Outrage Of Modesty,na,na,na,na,na,27,32,16,14,18,13,31,21
Ang Mo Kio Police Division - Sengkang NPC,62,68,83,56,67,61,72,42,51,57,54,87,115
    Robbery,1,0,1,0,3,1,0,4,1,7,6,3,7
    Housebreaking,3,2,2,2,3,8,2,1,6,4,3,9,20
    Snatch Theft,1,0,1,0,1,1,3,1,2,2,2,4,5
    Theft Of Motor Vehicle,5,2,6,1,3,2,6,2,10,4,12,37,36
    Outrage Of Modesty,52,64,73,53,57,49,61,34,32,40,31,34,47
Ang Mo Kio Police Division - Serangoon NPC,33,56,38,25,27,49,29,41,34,46,35,66,72
    Robbery,0,0,1,1,0,0,1,2,0,2,4,3,7
    Housebreaking,2,4,3,2,2,10,2,8,4,6,8,28,17
    Snatch Theft,2,0,0,0,0,2,0,0,0,3,0,0,14
    Theft Of Motor Vehicle,2,4,1,0,1,1,2,3,3,6,3,9,12
    Outrage Of Modesty,27,48,33,22,24,36,24,28,27,29,20,26,22
Ang Mo Kio Police Division - Yishun North NPC,na,na,na,na,na,64,61,45,49,50,74,72,91
    Robbery,na,na,na,na,na,1,3,1,1,4,3,6,13
    Housebreaking,na,na,na,na,na,12,7,5,6,3,7,13,20
    Snatch Theft,na,na,na,na,na,3,2,1,1,3,7,9,11
    Theft Of Motor Vehicle,na,na,na,na,na,5,10,5,10,3,14,17,11
    Outrage Of Modesty,na,na,na,na,na,43,39,33,31,37,43,27,36
Ang Mo Kio Police Division - Yishun South NPC,na,na,na,na,na,38,32,35,39,24,28,47,47
    Robbery,na,na,na,na,na,0,0,1,1,2,3,4,2
    Housebreaking,na,na,na,na,na,2,2,0,2,4,3,17,8
    Snatch Theft,na,na,na,na,na,0,0,0,1,0,1,3,4
    Theft Of Motor Vehicle,na,na,na,na,na,3,3,5,5,3,4,7,7
    Outrage Of Modesty,na,na,na,na,na,33,27,29,30,15,17,16,26
Ang Mo Kio Police Division - Woodleigh NPC,13,na,na,na,na,na,na,na,na,na,na,na,na
    Robbery,0,na,na,na,na,na,na,na,na,na,na,na,na
    Housebreaking,2,na,na,na,na,na,na,na,na,na,na,na,na
    Snatch Theft,0,na,na,na,na,na,na,na,na,na,na,na,na
    Theft Of Motor Vehicle,0,na,na,na,na,na,na,na,na,na,na,na,na
    Outrage Of Modesty,11,na,na,na,na,na,na,na,na,na,na,na,na
Ang Mo Kio Police Division - Unknown NPC,4,1,1,2,0,0,0,0,0,0,0,0,0
    Robbery,0,0,0,0,0,0,0,0,0,0,0,0,0
    Housebreaking,0,0,0,0,0,0,0,0,0,0,0,0,0
    Snatch Theft,0,0,0,0,0,0,0,0,0,0,0,0,0
    Theft Of Motor Vehicle,0,0,0,0,0,0,0,0,0,0,0,0,0
    Outrage Of Modesty,4,1,1,2,0,0,0,0,0,0,0,0,0
Bedok Police Division - Total,324,370,306,260,322,377,339,377,438,562,695,764,830
    Robbery,4,12,4,7,10,13,17,31,54,71,70,87,107
    Housebreaking,40,30,20,25,23,24,44,45,67,94,140,138,139
    Snatch Theft,3,7,1,6,4,10,8,21,17,43,95,74,99
    Theft Of Motor Vehicle,16,26,17,9,23,42,35,41,89,84,123,157,201
    Outrage Of Modesty,261,295,264,213,262,288,235,239,211,270,267,308,284
Bedok Police Division - Bedok NPC,78,91,80,64,86,88,86,92,103,150,173,218,199
    Robbery,1,3,3,3,1,2,1,3,6,16,9,24,23
    Housebreaking,10,9,2,5,6,7,14,12,18,28,33,49,33
    Snatch Theft,1,2,0,1,2,1,2,3,3,14,23,14,24
    Theft Of Motor Vehicle,2,5,5,3,6,15,6,8,19,16,43,52,60
    Outrage Of Modesty,64,72,70,52,71,63,63,66,57,76,65,79,59
Bedok Police Division - Changi NPC,36,47,32,14,22,52,31,24,36,48,68,59,76
    Robbery,0,0,1,0,0,1,0,3,0,3,4,3,6
    Housebreaking,1,1,1,1,0,2,6,0,3,5,14,9,20
    Snatch Theft,1,0,0,0,0,0,1,1,0,2,9,2,2
    Theft Of Motor Vehicle,1,0,2,1,1,2,1,3,9,12,10,12,15
    Outrage Of Modesty,33,46,28,12,21,47,23,17,24,26,31,33,33
Bedok Police Division - Geylang NPC,79,90,73,76,89,106,104,123,143,191,234,273,260
    Robbery,1,5,0,3,6,8,12,16,39,39,47,42,44
    Housebreaking,15,10,12,5,4,7,14,17,20,25,60,53,36
    Snatch Theft,0,4,0,2,1,9,4,9,7,22,40,33,45
    Theft Of Motor Vehicle,5,7,6,3,7,14,6,17,31,32,33,50,62
    Outrage Of Modesty,58,64,55,63,71,68,68,64,46,73,54,95,73
Bedok Police Division - Marine Parade NPC,36,39,32,36,36,39,35,44,47,39,62,52,77
    Robbery,0,1,0,1,1,1,1,1,0,1,2,4,8
    Housebreaking,5,3,4,6,3,6,6,11,17,10,20,11,14
    Snatch Theft,0,0,1,1,0,0,0,1,3,2,6,5,13
